id;name;address;country;city;wht_acceptance;region;contact_name;contact_dial;contact_email;created_date;status;created_by;tax_registery_number;tax_authority;valid_from;valid_to;tax_type;tax_value;regulatory;fra_code;liscence_valid_from;liscence_valid_to;broker_name_ar;payment_type;payment_mode;bank_name;account_name;branch;bank_account_no;bank_address;currency;swift_code;i_banno
1;Practical green Buckinghamshire;Paradigm backing York;Sri Lanka;Janyview;true;human-resource 1080p;payment deposit;interfaces;Berkshire;2021-04-10;InActive;deposit input;incubate incremental;mobile Shoes;2021-04-10;2021-04-11;FlatRate;95832;orchestration Human;transmit sky;2021-04-11;2021-04-11;content sensor Gorgeous;Payment;CHEQUE;salmon hacking Producer;Savings Account;firewall;invoice;navigating Usability index;Rest CFA;indexing;Group
2;Associate;vertical;South Africa;East Aiyana;true;Practical Global;Missouri;International;Business-focused;2021-04-10;Active;Director;schemas;Object-based disintermediate;2021-04-10;2021-04-10;Percentage;38767;Interactions;Tennessee synthesize Factors;2021-04-10;2021-04-10;matrix;Payment;CHEQUE;solutions Tasty multi-byte;Auto Loan Account;withdrawal;Infrastructure port Granite;Omani Washington withdrawal;bandwidth;global cross-platform violet;Licensed
3;enable Computers standardization;Ridge;Somalia;Pico Rivera;true;Analyst sky solid;overriding Managed Product;RAM Cotton;alarm Soap;2021-04-11;InActive;Legacy;grow Investment;Investment applications Electronics;2021-04-11;2021-04-11;FlatRate;53625;portals;Village Hat;2021-04-11;2021-04-11;PCI;Payment;Cash;encompassing Investment PNG;Investment Account;integrate Representative;District;Planner Cloned;installation real-time;Health;bifurcated Forge
4;Electronics Nevada;copying;Burkina Faso;Ernestoport;false;SSL;Cotton copying Heights;Communications;Bedfordshire;2021-04-11;InActive;Account indexing Riel;bluetooth;JSON;2021-04-11;2021-04-10;Percentage;93691;Lithuania Generic;Rand;2021-04-10;2021-04-11;Loan;Receipt;CHEQUE;auxiliary Computer;Checking Account;Mouse New;Rustic infrastructures;Clothing;Corporate Guatemala;Security Auto panel;frame synthesize Customer
5;installation deposit Wooden;Handmade Functionality Rustic;Turkmenistan;Norman;false;Savings Zimbabwe;Organized human-resource;generation;deposit Communications;2021-04-11;InActive;maximize;Customer;optical generating deposit;2021-04-10;2021-04-11;Percentage;94412;neutral structure Metrics;Tasty networks;2021-04-11;2021-04-10;driver Developer;Receipt;Cash;Mobility National;Savings Account;Investment;Borders;Estate Metal Sharable;pink;PCI;index
6;teal ubiquitous;optical Specialist Garden;Suriname;North Kelleytown;false;maroon bandwidth Sports;Gloves digital;Metal Corporate;JBOD withdrawal Group;2021-04-11;Active;overriding;Republic Frozen Future;extranet Mandatory;2021-04-11;2021-04-10;Percentage;53456;turn-key Concrete;Human Metal;2021-04-11;2021-04-11;blue;Receipt;Cash;circuit;Money Market Account;Operations;Kroon capacitor Licensed;Health Buckinghamshire integrated;Account discrete Texas;Shirt enable;Awesome Concrete Functionality
7;Frozen;Stravenue;Virgin Islands, British;Burlington;true;Personal system Colorado;Tennessee;SDD;Macao;2021-04-10;Active;bandwidth Grocery analyzer;Associate;bi-directional bypassing;2021-04-10;2021-04-10;FlatRate;41155;strategize Way monetize;Designer object-oriented;2021-04-10;2021-04-10;Cambridgeshire;Receipt;TRANSFER;orchestration primary;Auto Loan Account;Carolina;Dinar Customer;upward-trending USB Senior;Futuna orchid;silver;Incredible Licensed
8;Auto;Music virtual monetize;Netherlands Antilles;West Keshaun;false;SCSI quantify;mobile;Tasty Home Account;Sierra District Cambridgeshire;2021-04-11;Active;Market Clothing;SSL open Wooden;payment Borders Knoll;2021-04-10;2021-04-10;FlatRate;92455;Shirt Marks;array withdrawal synthesize;2021-04-11;2021-04-10;Checking morph;Payment;Cash;hack alarm Concrete;Credit Card Account;compress online;Chicken solution-oriented granular;Soap;Shoes Pants schemas;Product Polarised;Analyst Azerbaijan
9;Account Account content;Functionality;Sri Lanka;St. Cloud;false;frictionless deposit;Concrete;Mauritius executive;calculating Cross-platform;2021-04-11;InActive;Account;Licensed Quality-focused Rustic;Pants;2021-04-11;2021-04-11;FlatRate;92427;withdrawal COM algorithm;vortals;2021-04-10;2021-04-11;Team-oriented;Receipt;TRANSFER;Clothing;Credit Card Account;invoice payment;incentivize;Jan;HDD Cambridgeshire Industrial;Awesome purple Tugrik;Loan Integrated
10;deposit connect;Frozen Frozen Streamlined;French Guiana;Bridgeport;false;groupware static Quality-focused;plum Unbranded;collaboration Sharable;Bacon Frozen;2021-04-10;InActive;killer Leone olive;Engineer neural Metrics;Interactions Markets;2021-04-10;2021-04-10;Percentage;88637;Synergized;revolutionary Sleek;2021-04-11;2021-04-11;hierarchy;Payment;TRANSFER;California Cotton Ergonomic;Home Loan Account;niches;revolutionary Underpass Saudi;Jewelery initiatives Oklahoma;firmware intermediate solution;Reverse-engineered Shoes intuitive;Zimbabwe system
